# Creation time: 2022-06-20T16:44:02.726  -0600
#   a      e        i        q        r        M       node     peri  m_rand H_rand color Comments delta
  44.375  0.032    6.350   42.937   43.215   35.004   66.925  326.997  23.99   7.59  0.00 43.2232                          42.26
  46.743  0.117    4.694   41.270   43.776  308.496   25.795  239.248  23.92   7.45  0.00 43.7629                          42.80
  43.755  0.086    4.155   40.005   42.964  287.021  116.014  102.180  23.18   6.84  0.00 43.0177                          41.98
  43.112  0.075    4.092   39.875   44.628  114.096   50.326   26.518  23.40   6.83 -0.70 44.6950                          43.67
  45.355  0.178   11.509   37.286   37.559  347.691  196.395   19.945  22.90   7.08 -0.70 37.5067                          36.60
  46.112  0.127    1.266   40.279   49.971  126.009   28.917  323.484  23.52   6.49  0.00 49.7556                          49.00
  44.099  0.067    3.949   41.126   44.521   94.315  261.174   74.138  23.67   7.17  0.00 44.5480                          43.54
  43.920  0.069    2.915   40.889   40.991  345.919  120.541  224.126  23.27   7.08 -0.80 40.9615                          40.02
  45.962  0.145    2.252   39.274   41.345   40.282   91.981  350.127  23.88   7.71  0.00 41.2667                          40.37
  42.963  0.020    2.962   42.112   42.260  326.701  101.464   67.638  24.03   7.75  0.00 42.2632                          41.28
  45.524  0.094    4.040   41.240   42.517   41.540   45.929  111.586  23.67   7.36  0.00 42.5217                          41.53
  44.358  0.048    2.244   42.228   46.486  177.629  233.718  146.980  22.96   6.22 -0.70 46.4877                          45.53
  44.576  0.033    3.655   43.096   45.811  214.560  232.975  148.899  23.90   7.27  0.00 45.8093                          44.81
  42.752  0.020    2.492   41.880   42.174  312.109  121.192  239.665  23.64   7.34  0.00 42.1805                          41.18
  44.360  0.042    2.101   42.492   42.880   36.067   29.782  165.852  23.91   7.56  0.00 42.8812                          41.88
  45.522  0.126    3.566   39.809   45.154  280.876  216.677   76.167  23.56   6.95 -0.70 45.0237                          44.19
  46.801  0.181    3.609   38.340   38.632  347.544  129.066  217.225  23.45   7.52 -0.80 38.5440                          37.65
  44.282  0.077    6.277   40.890   41.022  344.984  103.351  201.012  22.95   6.77  0.00 41.0270                          40.03
  42.550  0.023    0.763   41.571   41.585  349.870  125.220   15.262  23.14   6.91  0.00 41.6014                          40.62
  43.990  0.083   13.825   40.334   41.100  325.095   40.454   41.207  23.71   7.56  0.00 41.1240                          40.12
  41.264  0.121   13.149   36.259   38.610   52.049   62.230  115.616  23.46   7.52  0.00 38.4976                          37.64
